work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,company_location,company_size
2023,Entry-Level,Full-Time,Applied Scientist,213660,USD,213660,US,Large
2023,Entry-Level,Full-Time,Applied Scientist,130760,USD,130760,US,Large
2023,Entry-Level,Full-Time,Data Quality Analyst,100000,USD,100000,NG,Large
2023,Entry-Level,Full-Time,Compliance Data Analyst,30000,USD,30000,NG,Large
2023,Entry-Level,Full-Time,Applied Scientist,204620,USD,204620,US,Large
2023,Entry-Level,Full-Time,Applied Scientist,110680,USD,110680,US,Large
2023,Entry-Level,Full-Time,Machine Learning Engineer,163196,USD,163196,US,Medium
2023,Entry-Level,Full-Time,Machine Learning Engineer,145885,USD,145885,US,Medium
2023,Entry-Level,Full-Time,Research Scientist,220000,USD,220000,US,Large
2023,Entry-Level,Full-Time,Data Engineer,85000,USD,85000,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,65000,USD,65000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,75000,USD,75000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,70000,USD,70000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,85000,USD,85000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,75000,USD,75000,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,1400000,INR,17022,IN,Large
2023,Entry-Level,Full-Time,Data Engineer,85000,USD,85000,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,65000,USD,65000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,55000,CAD,40663,CA,Large
2023,Entry-Level,Full-Time,Data Scientist,70000,CAD,51753,CA,Large
2023,Entry-Level,Full-Time,Data Scientist,130001,USD,130001,US,Medium
2023,Entry-Level,Full-Time,Data Scientist,71907,USD,71907,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,85000,USD,85000,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,65000,USD,65000,US,Medium
2023,Entry-Level,Full-Time,Applied Scientist,213660,USD,213660,US,Large
2023,Entry-Level,Full-Time,Applied Scientist,130760,USD,130760,US,Large
2023,Entry-Level,Full-Time,BI Data Engineer,60000,USD,60000,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,85000,USD,85000,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,65000,USD,65000,US,Medium
2023,Entry-Level,Full-Time,Research Engineer,155000,USD,155000,US,Medium
2023,Entry-Level,Full-Time,Research Engineer,125000,USD,125000,US,Medium
2023,Entry-Level,Full-Time,Research Engineer,155000,USD,155000,US,Medium
2023,Entry-Level,Full-Time,Research Engineer,125000,USD,125000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,64200,USD,64200,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,56100,USD,56100,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,92700,USD,92700,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,61800,USD,61800,US,Medium
2023,Entry-Level,Full-Time,Business Data Analyst,20000,EUR,21461,ES,Medium
2023,Entry-Level,Full-Time,Research Engineer,160000,USD,160000,US,Medium
2023,Entry-Level,Full-Time,Research Engineer,120000,USD,120000,US,Medium
2023,Entry-Level,Full-Time,Autonomous Vehicle Technician,7000,USD,7000,GH,Small
2023,Entry-Level,Full-Time,Applied Machine Learning Scientist,40000,EUR,42923,DE,Medium
2023,Entry-Level,Full-Time,Data Scientist,190000,USD,190000,US,Medium
2023,Entry-Level,Full-Time,Data Scientist,120000,USD,120000,US,Medium
2023,Entry-Level,Full-Time,Data Scientist,112000,CHF,121093,CH,Large
2023,Entry-Level,Full-Time,Data Analyst,85000,USD,85000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,75000,USD,75000,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,92700,USD,92700,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,61800,USD,61800,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,62000,USD,62000,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,58000,USD,58000,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,125000,USD,125000,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,90000,USD,90000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,95000,USD,95000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,70000,USD,70000,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,115100,USD,115100,US,Medium
